product_id,product_name,category,brand,price,stock
1,Product_1,Electronics,Brand_4,26,505
2,Product_2,Apparel,Brand_4,489,15
3,Product_3,Apparel,Brand_4,102,370
4,Product_4,Groceries,Brand_1,47,433
5,Product_5,Groceries,Brand_3,244,902
6,Product_6,Apparel,Brand_1,268,771
7,Product_7,Electronics,Brand_5,300,229
8,Product_8,Groceries,Brand_1,414,810
9,Product_9,Groceries,Brand_1,415,224
10,Product_10,Electronics,Brand_5,10,654
11,Product_11,Electronics,Brand_4,96,202
12,Product_12,Electronics,Brand_5,424,412
13,Product_13,Groceries,Brand_1,339,350
14,Product_14,Groceries,Brand_5,77,512
15,Product_15,Electronics,Brand_3,299,765
16,Product_16,Electronics,Brand_1,242,238
17,Product_17,Electronics,Brand_4,408,273
18,Product_18,Groceries,Brand_5,241,814
19,Product_19,Groceries,Brand_2,435,787
20,Product_20,Electronics,Brand_3,320,569
21,Product_21,Electronics,Brand_5,197,448
22,Product_22,Groceries,Brand_1,40,746
23,Product_23,Apparel,Brand_5,373,590
24,Product_24,Apparel,Brand_3,99,444
25,Product_25,Electronics,Brand_1,69,791
26,Product_26,Apparel,Brand_3,35,922
27,Product_27,Electronics,Brand_5,366,15
28,Product_28,Groceries,Brand_3,378,477
29,Product_29,Groceries,Brand_3,306,633
30,Product_30,Electronics,Brand_1,63,959
31,Product_31,Apparel,Brand_5,324,234
32,Product_32,Electronics,Brand_3,327,324
33,Product_33,Apparel,Brand_1,404,617
34,Product_34,Electronics,Brand_5,378,235
35,Product_35,Electronics,Brand_1,469,858
36,Product_36,Groceries,Brand_4,48,482
37,Product_37,Apparel,Brand_2,301,920
38,Product_38,Apparel,Brand_5,400,59
39,Product_39,Groceries,Brand_5,283,604
40,Product_40,Apparel,Brand_3,383,144
41,Product_41,Apparel,Brand_1,393,448
42,Product_42,Groceries,Brand_1,232,325
43,Product_43,Electronics,Brand_4,336,836
44,Product_44,Apparel,Brand_3,144,311
45,Product_45,Apparel,Brand_2,328,692
46,Product_46,Groceries,Brand_5,269,264
47,Product_47,Electronics,Brand_4,252,900
48,Product_48,Apparel,Brand_1,143,27
49,Product_49,Apparel,Brand_3,246,419
50,Product_50,Groceries,Brand_3,23,649
51,Product_51,Groceries,Brand_5,57,190
52,Product_52,Electronics,Brand_5,71,843
53,Product_53,Apparel,Brand_5,188,315
54,Product_54,Apparel,Brand_3,484,570
55,Product_55,Apparel,Brand_2,203,686
56,Product_56,Groceries,Brand_1,134,590
57,Product_57,Apparel,Brand_4,453,621
58,Product_58,Electronics,Brand_5,447,736
59,Product_59,Groceries,Brand_1,496,708
60,Product_60,Electronics,Brand_2,253,246
61,Product_61,Apparel,Brand_4,432,712
62,Product_62,Groceries,Brand_4,68,164
63,Product_63,Groceries,Brand_4,301,323
64,Product_64,Apparel,Brand_2,391,741
65,Product_65,Groceries,Brand_1,390,729
66,Product_66,Apparel,Brand_2,483,547
67,Product_67,Apparel,Brand_1,228,923
68,Product_68,Groceries,Brand_5,472,346
69,Product_69,Apparel,Brand_2,152,510
70,Product_70,Apparel,Brand_5,251,497
71,Product_71,Apparel,Brand_2,340,769
72,Product_72,Groceries,Brand_1,388,655
73,Product_73,Groceries,Brand_2,386,671
74,Product_74,Groceries,Brand_1,344,585
75,Product_75,Electronics,Brand_3,338,316
76,Product_76,Groceries,Brand_4,102,53
77,Product_77,Electronics,Brand_5,49,143
78,Product_78,Apparel,Brand_3,471,793
79,Product_79,Apparel,Brand_1,110,439
80,Product_80,Groceries,Brand_2,78,570
81,Product_81,Groceries,Brand_1,253,926
82,Product_82,Apparel,Brand_5,254,243
83,Product_83,Electronics,Brand_2,301,476
84,Product_84,Apparel,Brand_1,298,72
85,Product_85,Electronics,Brand_1,399,650
86,Product_86,Electronics,Brand_1,291,725
87,Product_87,Groceries,Brand_2,123,480
88,Product_88,Apparel,Brand_4,206,192
89,Product_89,Groceries,Brand_1,180,316
90,Product_90,Groceries,Brand_1,479,316
91,Product_91,Groceries,Brand_1,176,268
92,Product_92,Groceries,Brand_1,182,154
93,Product_93,Groceries,Brand_3,64,959
94,Product_94,Electronics,Brand_2,449,861
95,Product_95,Groceries,Brand_4,21,901
96,Product_96,Groceries,Brand_3,484,150
97,Product_97,Electronics,Brand_1,277,130
98,Product_98,Apparel,Brand_5,216,582
99,Product_99,Electronics,Brand_2,268,73
100,Product_100,Apparel,Brand_3,251,193
